ENT_DT_MOVTO;ENT_NR_LOTE;ENT_NR_INST;ENT_NR_AGEN;ENT_NR_CTRTER;ENT_NR_PL;ENT_DT_PL;ENT_ST_PL;ENT_DT_LBNDES;ENT_VL_SOLIC;ENT_VL_LIBER;ENT_ID_TIPIOF;ENT_VL_IOF;ENT_ID_CONCES;ENT_VL_CONCES;ENT_ID_OUTVLR;ENT_VL_OUTVLR;ENT_NR_BANCO;ENT_NR_AGENC;ENT_NR_CONTA
20260215;1;1414;19;1041573;1;20240812;5;20240812;17177.73;17724.05;F;546.32;F;0;F;0;;;
20260215;1;1414;19;1041584;1;20240809;5;20240809;6747.01;6963.33;F;216.32;F;0;F;0;;;
20260215;1;1414;19;1041590;1;20240828;5;20240828;3419.28;3445.36;F;26.08;F;0;F;0;;;
20260215;1;1414;19;1041606;1;20240812;5;20240812;6314.11;6363.88;F;49.77;F;0;F;0;;;
20260215;1;1414;19;1041628;1;20240809;5;20240809;4707.3;4857.3;F;150;F;0;F;0;;;
20260215;1;1414;19;1041634;1;20240809;5;20240809;8838.29;9116.29;F;278;F;0;F;0;;;
20260215;1;1414;19;1041651;1;20240814;5;20240814;6007.72;6190.76;F;183.04;F;0;F;0;;;
20260215;1;1414;19;1041654;1;20240813;5;20240813;2019.62;2083.81;F;64.19;F;0;F;0;;;
20260215;1;1414;19;1041658;1;20240814;5;20240814;3715.09;3833.06;F;117.97;F;0;F;0;;;
20260215;1;1414;19;1041667;1;20240814;5;20240814;6044.69;6237.91;F;193.22;F;0;F;0;;;
20260215;1;1414;19;1041700;1;20240812;5;20240812;2000;2063.64;F;63.64;F;0;F;0;;;
20260215;1;1414;19;1041707;1;20240813;5;20240813;23285.22;23439.26;F;154.04;F;0;F;0;;;
20260215;1;1414;19;1041708;1;20240812;5;20240812;2000;2062.79;F;62.79;F;0;F;0;;;
20260215;1;1414;19;1041716;1;20240813;5;20240813;4522.84;4666.03;F;143.19;F;0;F;0;;;
20260215;1;1414;19;1041719;1;20240814;5;20240814;12000;12355.46;F;355.46;F;0;F;0;;;
20260215;1;1414;19;1041720;1;20240814;5;20240814;2143.26;2211.73;F;68.47;F;0;F;0;;;
20260215;1;1414;19;1041724;1;20240812;5;20240812;852.64;879.41;F;26.77;F;0;F;0;;;
20260215;1;1414;19;1041743;1;20240828;5;20240828;2660.77;2667.23;F;6.46;F;0;F;0;;;
20260215;1;1414;19;1041745;1;20240828;5;20240828;17242.32;17279.61;F;37.29;F;0;F;0;;;
20260215;1;1414;19;1041747;1;20240828;5;20240828;3859.66;3869.55;F;9.89;F;0;F;0;;;
20260215;1;1414;19;1041754;1;20240813;5;20240813;9751.13;10043.09;F;291.96;F;0;F;0;;;
20260215;1;1414;19;1041755;1;20240814;5;20240814;3861.57;3984.25;F;122.68;F;0;F;0;;;
20260215;1;1414;19;1041757;1;20240815;5;20240815;30415.01;31386.81;F;971.8;F;0;F;0;;;
20260215;1;1414;19;1041763;1;20240813;5;20240813;8235.7;8497.43;F;261.73;F;0;F;0;;;
20260215;1;1414;19;1041766;1;20240813;5;20240813;1240.52;1280.07;F;39.55;F;0;F;0;;;
20260215;1;1414;19;1041779;1;20240910;5;20240910;26242.39;26291.24;F;48.85;F;0;F;0;;;
