ENT_DT_MOVTO;ENT_NR_LOTE;ENT_NR_INST;ENT_CD_CONV;ENT_NR_CPFCNPJ;ENT_NM_CONV;ENT_NM_CONVR;ENT_NM_END;ENT_NR_END;ENT_DS_COMPL;ENT_NM_BAIRRO;ENT_NM_CIDADE;ENT_SG_ESTADO;ENT_CD_PAIS;ENT_NR_CEP;ENT_NR_DDD;ENT_NR_TEL;ENT_NR_DDDCEL;ENT_NR_CEL;ENT_NR_DDDFAX;ENT_NR_FAX;ENT_NM_EMAIL;ENT_CD_INSTAN;ENT_CD_PODER;ENT_CD_INSAUT;ENT_TP_CLACV;ENT_TP_CONV;ENT_NR_DIACT;ENT_NR_DIAVCT;ENT_QT_CAREN;ENT_TP_DIAVCT;ENT_ID_CRBANC;ENT_NR_BANCO;ENT_NR_AGENC;ENT_NR_CONTA
20251117;1;1414;16;7,91421E+13;MARINGA SOLDAS S/A;MARINGA TRUCK;AV MORANGUEIRA, 3844;;;JARDIM SANTA CLARA;MARINGÃ;PR;;87035060;;;;;;;;;;;C;;21;11;;;;;;
20251117;1;1414;17;1,11509E+13;MARTINS E OLIVEIRA LTDA;MADEPINUS;AVENIDA DAS AMÃ‰RICAS, 591;;;EUCALIPTOS;FAZENDA RIO GRANDE;PR;;83820023;;;;;;;;;;;C;;21;31;;;;;;
20251117;1;1414;18;7,61056E+13;MUNICIPIO DE CAMPO LARGO;PREF CAMPO LARG;AVENIDA PADRE NATAL PIGATTO, 925;;;CENTRO;CAMPO LARGO;PR;;83601630;;;;;;;;;;;C;;18;21;;;;;;
20251117;1;1414;20;1,6838E+13;SENFF CONTACT LTDA ;SENFF CONTACT;AV SENADOR SOUZA NAVES, 1240;;LOJA 2 E 3;CRISTO REI;CURITIBA;PR;;80050152;;;;;;;;;;;C;;21;31;;;;;;
20251117;1;1414;21;2,0151E+13;SENFF SOLUCOES EM TI LTDA;SENFF TI;AV SENADOR SOUZA NAVES, 1240;;LOJA 2 E 3;CRISTO REI;CURITIBA;PR;;80050152;;;;;;;;;;;C;;21;31;;;;;;
20251117;1;1414;23;7,785E+12;PREV SAO JOSE ;PREV SAO JOSE;RUA COLOMBO;;1622;CENTRO;SÃƒO JOSÃ‰ DOS PINHAIS;PR;;83005400;;;;;;;;;;;C;;1;15;;;;;;
20251117;1;1414;24;7,61056E+13;MUNICIPIO DE CAMPINA GRANDE DO SUL;PREF CAMPINA GR;PRACA BENTO MUNHOZ DA ROCHA, 30;;;CENTRO;CAMPINA GRANDE DO SUL;PR;;83430000;;;;;;;;;;;C;;11;15;;;;;;
20251117;1;1414;25;7,61055E+13;MUNICIPIO DE SAO JOSE DOS PINHAIS;PREF SÃƒO JOSE;RUA PASSOS DE OLIVEIRA, 1101;;;CENTRO;SAO JOSE DOS PINHAIS;PR;;83030900;;;;;;;;;;;C;;1;10;;;;;;
20251117;1;1414;26;7,61055E+13;MUNICÃPIO DE BALSA NOVA;PREF BALSA NOVA;AV BRASIL, NÂº 665;;;CENTRO;BALSA NOVA;PR;;83650000;;;;;;;;;;;C;;19;21;;;;;;
20251117;1;1414;27;7,62358E+13;MUNICIPIO DE ANDIRA;PREF ANDIRA;R MAURO C DE OLIVEIRA ;;;CENTRO;ANDIRA;PR;;86380000;;;;;;;;;;;C;;14;25;;;;;;
